Id,Category
0,1
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,0
16,1
17,0
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,1
36,1
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,1
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,1
95,1
96,0
97,1
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,1
116,0
117,1
118,1
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,0
127,0
128,1
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,1
141,1
142,1
143,0
144,0
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,0
153,1
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,0
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,0
171,1
172,1
173,1
174,1
175,1
176,0
177,1
178,0
179,0
180,1
181,0
182,1
183,1
184,1
185,0
186,0
187,0
188,1
189,0
190,0
191,1
192,0
193,1
194,1
195,1
196,1
197,0
198,1
199,0
200,1
201,0
202,1
203,0
204,1
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,1
213,0
214,1
215,0
216,0
217,0
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,1
234,1
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,1
244,1
245,0
246,0
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,1
255,0
256,1
257,0
258,1
259,0
260,1
261,1
262,0
263,1
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,1
288,1
289,0
290,0
291,1
292,0
293,1
294,0
295,0
296,0
297,1
298,1
299,0
300,0
301,0
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,0
310,1
311,1
312,0
313,1
314,1
315,1
316,0
317,0
318,0
319,1
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,1
328,1
329,1
330,0
331,0
332,0
333,1
334,1
335,0
336,1
337,0
338,1
339,1
340,0
341,1
342,0
343,0
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,1
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,1
374,1
375,1
376,1
377,0
378,1
379,0
380,0
381,0
382,1
383,1
384,0
385,0
386,1
387,0
388,0
389,0
390,1
391,1
392,1
393,0
394,0
395,1
396,0
397,0
398,1
399,1
400,0
401,1
402,1
403,0
404,1
405,1
406,1
407,1
408,1
409,0
410,0
411,1
412,0
413,1
414,0
415,0
416,1
417,0
418,1
419,0
420,1
421,0
422,1
423,1
424,1
425,1
426,0
427,0
428,0
429,0
430,1
431,0
432,0
433,1
434,1
435,1
436,1
437,0
438,1
439,1
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,1
455,0
456,1
457,1
458,0
459,0
460,0
461,1
462,1
463,0
464,1
465,1
466,1
467,1
468,0
469,0
470,1
471,1
472,1
473,0
474,0
475,0
476,1
477,0
478,1
479,0
480,1
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,1
489,0
490,1
491,1
492,0
493,1
494,0
495,1
496,1
497,0
498,0
499,1
500,0
501,1
502,0
503,0
504,1
505,0
506,1
507,0
508,0
509,1
510,0
511,1
512,1
513,0
514,1
515,0
516,1
517,1
518,1
519,0
520,1
521,0
522,0
523,1
524,1
525,1
526,1
527,1
528,0
529,1
530,1
531,1
532,1
533,0
534,1
535,0
536,1
537,0
538,0
539,1
540,0
541,0
542,0
543,1
544,0
545,1
546,1
547,0
548,0
549,0
550,0
551,1
552,1
553,1
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,1
563,0
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,1
574,1
575,1
576,0
577,1
578,1
579,0
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,0
589,0
590,0
591,1
592,1
593,1
594,1
595,1
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,1
605,0
606,1
607,0
608,1
609,1
610,1
611,1
612,0
613,0
614,0
615,1
616,1
617,1
618,0
619,0
620,0
621,1
622,0
623,1
624,0
625,1
626,0
627,0
628,1
629,0
630,1
631,0
632,0
633,0
634,0
635,0
636,1
637,0
638,1
639,1
640,0
641,1
642,0
643,0
644,1
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,1
653,1
654,1
655,1
656,1
657,0
658,0
659,0
660,1
661,1
662,0
663,1
664,1
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,1
675,1
676,0
677,0
678,1
679,0
680,1
681,0
682,0
683,0
684,1
685,1
686,0
687,1
688,0
689,1
690,1
691,1
692,0
693,0
694,1
695,1
696,1
697,0
698,0
699,1
700,0
701,1
702,1
703,0
704,1
705,1
706,0
707,0
708,1
709,0
710,0
711,0
712,0
713,0
714,0
715,1
716,1
717,0
718,0
719,1
720,1
721,1
722,0
723,1
724,1
725,1
726,1
727,1
728,0
729,1
730,1
731,1
732,0
733,1
734,1
735,0
736,1
737,1
738,1
739,0
740,0
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,0
749,0
750,0
751,0
752,1
753,0
754,0
755,1
756,1
757,1
758,0
759,1
760,0
761,0
762,0
763,1
764,1
765,1
766,1
767,1
768,0
769,0
770,1
771,1
772,0
773,0
774,1
775,0
776,1
777,1
778,0
779,1
780,1
781,1
782,0
783,1
784,1
785,0
786,0
787,1
788,1
789,1
790,1
791,0
792,1
793,1
794,1
795,1
796,0
797,0
798,1
799,1
800,1
801,0
802,0
803,1
804,1
805,0
806,0
807,1
808,1
809,1
810,0
811,1
812,1
813,0
814,0
815,1
816,0
817,0
818,1
819,0
820,1
821,0
822,1
823,1
824,1
825,1
826,1
827,0
828,1
829,0
830,1
831,0
832,1
833,0
834,0
835,1
836,1
837,0
838,1
839,1
840,0
841,0
842,0
843,1
844,1
845,1
846,1
847,1
848,0
849,1
850,0
851,1
852,0
853,1
854,0
855,0
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,0
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,0
873,1
874,0
875,0
876,1
877,1
878,0
879,0
880,0
881,1
882,0
883,0
884,1
885,1
886,0
887,1
888,0
889,0
890,0
891,0
892,1
893,1
894,0
895,0
896,0
897,1
898,1
899,1
900,1
901,0
902,0
903,1
904,1
905,1
906,0
907,0
908,0
909,1
910,0
911,0
912,1
913,1
914,0
915,1
916,0
917,0
918,1
919,1
920,0
921,0
922,0
923,0
924,1
925,1
926,0
927,1
928,1
929,1
930,0
931,1
932,1
933,0
934,0
935,0
936,0
937,0
938,1
939,1
940,0
941,0
942,0
943,1
944,1
945,0
946,1
947,0
948,0
949,1
950,0
951,1
952,0
953,1
954,1
955,1
956,0
957,0
958,1
959,1
960,0
961,0
962,0
963,1
964,1
965,1
966,1
967,0
968,1
969,0
970,0
971,0
972,1
973,1
974,1
975,1
976,1
977,0
978,1
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,1
988,0
989,1
990,1
991,1
992,1
993,0
994,0
995,0
996,0
997,0
998,0
999,1
1000,0
1001,1
1002,1
1003,0
1004,1
1005,1
1006,1
1007,0
1008,1
1009,0
1010,0
1011,1
1012,1
1013,0
1014,1
1015,1
1016,0
1017,1
1018,1
1019,0
1020,1
1021,1
1022,0
1023,0
1024,1
1025,1
1026,1
1027,1
1028,0
1029,1
1030,1
1031,0
1032,1
1033,0
1034,1
1035,0
1036,1
1037,1
1038,1
1039,0
1040,1
1041,0
1042,1
1043,1
1044,0
1045,1
1046,1
1047,0
1048,1
1049,1
1050,0
1051,0
1052,1
1053,1
1054,0
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,0
1063,1
1064,1
1065,1
1066,1
1067,0
1068,1
1069,1
1070,1
1071,0
1072,1
1073,0
1074,0
1075,0
1076,1
1077,1
1078,1
1079,1
1080,1
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,1
1088,1
1089,0
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,0
1097,1
1098,0
1099,1
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1106,0
1107,0
1108,1
1109,1
1110,1
1111,0
1112,0
1113,1
1114,0
1115,0
1116,1
1117,1
1118,0
1119,1
1120,1
1121,1
1122,0
1123,0
1124,1
1125,0
1126,1
1127,0
1128,0
1129,0
1130,0
1131,1
1132,0
1133,0
1134,0
1135,1
1136,0
1137,1
1138,1
1139,1
1140,0
1141,0
1142,1
1143,1
1144,1
1145,1
1146,1
1147,0
1148,1
1149,1
1150,0
1151,0
1152,0
1153,1
1154,1
1155,1
1156,0
1157,0
1158,1
1159,1
1160,1
1161,1
1162,0
1163,0
1164,1
1165,0
1166,0
1167,0
1168,1
1169,0
1170,1
1171,1
1172,0
1173,1
1174,1
1175,1
1176,1
1177,1
1178,0
1179,1
1180,0
1181,1
1182,1
1183,0
1184,0
1185,1
1186,0
1187,0
1188,1
1189,1
1190,1
1191,1
1192,0
1193,0
1194,0
1195,0
1196,1
1197,0
1198,1
1199,1
1200,1
1201,0
1202,1
1203,1
1204,0
1205,0
1206,1
1207,0
1208,1
1209,0
1210,0
1211,0
1212,1
1213,0
1214,1
1215,1
1216,1
1217,1
1218,1
1219,0
1220,1
1221,1
1222,1
1223,0
1224,1
1225,1
1226,1
1227,0
1228,1
1229,1
